Poster,gRank,gTier,YO,SK,M1-5,M6-10,M11+
anakha,2.0,Maegashira,Takakeisho,Mitakeumi,Wakatakakage,Abi,Ichiyamamoto
Banana Canada,1.0,Ozeki,Terunofuji,Takanosho,Ichinojo,Chiyonokuni,Aoiyama
bartolimu,1.0,Maegashira,Takakeisho,Takanosho,Wakatakkage,TAKArafuji,Yutakayama
Beeswax,13.0,Maegashira,Shodai,Mitakeumi,Kiribayama,Hoshoryu,Kotonowaka
bessantj,2.0,Sekiwake,Terunofuji,Meisei,Endo,Myogiryu,Kotoeko
Brut,15.0,Maegashira,Takakeisho,Daieisho,Wakatakkage,Akua,Wakamotoharu
captainblastum,1.0,Sekiwake,Terunofuji,Takanosho,Okinoumi,Tobizaru,Kotoeko
Charles Gnarwin,10.0,Maegashira,Terunofuji,Daiesho,Wakatakkage,Hoshoryu,Ishiura
Chinook,4.0,Maegashira,Terunofuji,Takanosho,Endo,Tobizaru,Terutsuyoshi
Communist Thoughts,12.0,Maegashira,Takakeisho,Daeisho,Ichinojo,Abi,Chiyomaru
Crusty Nutsack,9.0,Maegashira,Takakeisho,Mitakeumi,Ura,Abi,Sadanoumi
Eli949,3.0,Maegashira,Terunofuji,Takanosho,Chiyoshoma,Chiyonokuni,Kotonowaka
Everyones Favorite Poster,11.0,Juryo,Terunofuji,Daieisho,Ura,Tobizaru,Wakamotoharu
Firebatgyro,4.0,Yokozuna,Terunofuji,Daieisho,Endo,Tobizaru,Kotonowaka
Fluffdaddy,9.0,Maegashira,Shodai,Takanosho,Okinoumi,Takarafuji,Ishiura
Gaghskull,8.0,Ozeki,Terunofuji,Takanosho,Ura,Tobizaru,Tochinoshin
GoatSeeGuy,1.0,Ozeki,Terunofuji,Meisei,Onosho,Myogiryu,Oho
Helianthus Annuus,6.0,Komusubi,Takakeisho,Takanosho,Kiribayama,Myogiryu,Ichiyamamoto
Ice Phisherman,11.0,Maegashira,Takakeisho,Mitakeumi,Hokutofuji,Abi,Terutsuyoshi
ilmucche,5.0,Ozeki,Terunofuji,Takanosho,Endo,Takarafuji,Tochinoshin
Iron Chef Nex,2.0,Sekiwake,Terunofuji,Mitakeumi,Ura,Hoshoryu,Chiyomaru
jmzero,5.0,Maegashira,Terunofuji,Daieisho,Ichinojo,Tobizaru,Aoyama
Jobbo_Fett,3.0,Komusubi,Terunofuji,Meisei,Wakatakkage,Tobizaru,Tochinoshin
Kenning,10.0,Maegashira,Takakeisho,Daieisho,Wakatakkage,Hoshoryu,Oho
Khizan,6.0,Maegashira,Terunofuji,Meisei,Wakatakkage,Tobizaru,Kotonowaka
KungFu Grip,11.0,Juryo,Terunofuji,Daisho,Ura,Tobizaru,Ishiura
Lexorin,10.0,Juryo,Shodai,Mitakeumi,Hokutofuji,Abi,Tochinoshin
Lid,15.0,Maegashira,Takakeisho,Mitakeumi,Ura,Abi,Sadanoumi
Liquid Communism,2.0,Ozeki,Terunofuji,Meisei,Wakatakkage,Tobizaru,Tochinoshin
LlamaTrauma,5.0,Maegashira,Terunofuji,Daieisho,Endo,Myogiryu,Chiyomaru
Log082,7.0,Yokozuna,Shodai,Meisei,Wakatakkage,TAKArafuji,Terutsuyoshi
Maigius,10.0,Yokozuna,Takakeisho,Daieisho,Wakatakkage,Akua,Chiyotairyu
MalarkeyToboggan,1.0,Komusubi,Terunofuji,Takanosho,Endo,Chiyonokuni,Yutakayama
Marching Powder,6.0,Maegashira,Takakeisho,Mitakeiumi,Endo,Abi,Ichiyamamoto
Martytoof,13.0,Maegashira,Terunofuji,Daieisho,Endo,Hoshoryu,Chiyomaru
Memento,9.0,Komusubi,Takakaiesho,Mitakeumi,Tamawashi,Abi,Sadanoumi
MyChemicalImbalance,11.0,Maegashira,Takakeisho,Mitakeumi,Tamawashi,Hoshoryu,Aoiyama
Neodoomium,1.0,Yokozuna,Takakeisho,Mitakeumi,Endo,Abi,Tochinoshin
Netsky,8.0,Maegashira,Terunofuji,Takanosho,Ura,Chiyonokuni,Ichiyamamoto
NuclearPotatob,11.0,Juryo,Takakeisho,Mitakeumi,Wakatakkage,Abi,Ichiyamamoto
Omnikin,11.0,Sekiwake,Shodai,Daieisho,Ichinojo,Shimanoumi,Oho
Pakled,8.0,Maegashira,Terunofuji,Meisei,Hokutofuji,Tobizaru,Kotonowaka
pseudodragon,11.0,Juryo,Takakeisho,Takanosho,Ura,Hoshoryu,Oho
QuasiQuack,14.0,Maegashira,Takakeisho,Takanosho,Hokutofuji,Hoshoryu,Kotoeko
ratmosphere,3.0,Maegashira,Takakeisho,Mitakeumi,Endo,Hoshoryu,Chiyomaru
scripterror,3.0,Maegashira,Terunofuji,Meisei,Hokutofuji,Takayasu,Aoiyama
Scythe,13.0,Yokozuna,Takakeisho,Mitakeumi,Hokutofuji,Hoshoryu,Oho
Shiroc,4.0,Juryo,Shodai,Meisei,Ura,Akua,Wakamotoharu
sivad,2.0,Komusubi,Terunofuji,Takanosho,Wakatakkage,Hoshoryu,Ishiura
Skjorte,1.0,Sekiwake,Takakeisho,Mitakeumi,Kiribayama,Hoshoryu,Ichiyamamoto
Spokes,7.0,Juryo,Terunofuji,Daieisho,Ura,Abi,Tochinoshin
Takuan,12.0,Maegashira,Terunofuji,Mitakeumi,Ura,Hoshoryu,Kotonowaka
Teddybear,1.0,Juryo,Takakeisho,Takanosho,Ura,Abi,Sadanoumi
Thauros,1.0,Komusubi,Takakeisho,Mitakeumi,Ura,Abi,Wakamotoharu
Tiny Bug Child,2.0,Ozeki,Terunofuji,Mitakeumi,Wakatakkage,Abi,Kotonowaka
Tochiazuma,2.0,Maegashira,Terunofuji,Daieisho,Tamawashi,Tobizaru,Yutakayama
Vargatron,7.0,Maegashira,Takakeisho,Meisei,Ichinojo,Takayasu,Kotonowaka
whats for dinner,4.0,Maegashira,Takakeisho,Mitakeumi,Ura,Hoshoryu,Tochinoshin
