Poster,gRank,gTier,YO,SK,M1-5,M6-10,M11+
anakha,6.0,Maegashira,Takakeisho,Mitakeumi,Wakatakakage,Tobizaru,Abi
Banana Canada,2.0,Sekiwake,Terunofuji,Mitakeumi,Takayasu,Tobizaru,Abi
bartolimu,2.0,Sekiwake,Terunofuji,Kiribayama,Wakatakakage,Chiyotairyu,Terutsuyoshi
Beeswax,13.0,Maegashira,Shodai,Kiribayama,Hoshoryu,Tamawashi,Hokutofuji
Bellwether,17.0,Maegashira,Takakeisho,Kiribayama,Wakatakakage,Tobizaru,Kotonowaka
bessantj,1.0,Komusubi,Terunofuji,Mitakeumi,Hoshoryu,Tobizaru,Hokutofuji
Brut,4.0,Maegashira,Shodai,Ichinojo,Hoshoryu,Aoiyama,Kotonowaka
captainblastum,1.0,Sekiwake,Terunofuji,Ichinojo,Wakatakakage,Chiyotairyu,Hokutofuji
Charles Gnarwin,7.0,Maegashira,Terunofuji,Kiribayama,Hoshoryu,Tobizaru,Terutsuyoshi
Chinook,12.0,Maegashira,Terunofuji,Kiribayama,Wakatakakage,Tamawashi,Abi
Communist Thoughts,4.0,Juryo,Takakeisho,Ichinojo,Takayasu,Ura,Chiyomaru
Crusty Nutsack,7.0,Maegashira,Terunofuji,Kiribayama,Onosho,Kotoeko,Yutakayama
Dias,8.0,Maegashira,Terunofuji,Ichinojo,Myogiryu,Tobizaru,Abi
Eli949,12.0,Maegashira,Terunofuji,Mitakeumi,Takayasu,Tobizaru,Abi
Everyones Favorite Poster,3.0,Maegashira,Terunofuji,Mitakeumi,Hoshoryu,Tobizaru,Hokutofuji
Firebatgyro,9.0,Juryo,Terunofuji,Meisei,Hoshoryu,Tobizaru,Akua
Fluffdaddy,3.0,Maegashira,Shodai,Meisei,Takayasu,Ura,Kaisei
Gaghskull,9.0,Juryo,Terunofuji,Ichinojo,Wakatakakage,Shimanoumi,Kagayaki
GoatSeeGuy,1.0,Ozeki,Terunofuji,Meisei,Hoshoryu,Tobizaru,Hokutofuji
Ice Phisherman,13.0,Maegashira,Takakeisho,Mitakeumi,Wakatakakage,Kotoeko,Hokutofuji
ilmucche,14.0,Maegashira,Terunofuji,Meisei,Myogiryu,Kotoeko,Akua
Iron Chef Nex,10.0,Juryo,Terunofuji,Mitakeumi,Hoshoryu,Kotoeko,Hokutofuji
jmzero,8.0,Maegashira,Terunofuji,Kiribayama,Takayasu,Tobizaru,Abi
Jobbo_Fett,8.0,Juryo,Terunofuji,Mitakeumi,Wakatakakage,Chiyotairyu,Terutsuyoshi
Kenning,5.0,Maegashira,Takakeisho,Kiribayama,Wakatakakage,Tobizaru,Kotonowaka
Khizan,10.0,Maegashira,Terunofuji,Ichinojo,Hoshoryu,Tobizaru,Abi
KungFu Grip,14.0,Juryo,Terunofuji,Meisei,Takayasu,Kotoeko,Ishiura
Lexorin,14.0,Juryo,Shodai,Ichinojo,Okinoumi,Asanoyama,Hokutofuji
Lid,11.0,Maegashira,Takakeisho,Kiribayama,Onosho,Chiyoshoma,Kagayaki
Liquid Communism,2.0,Juryo,Terunofuji,Ichinojo,Wakatakakage,Tobizaru,Chiyomaru
LlamaTrauma,11.0,Maegashira,Terunofuji,Ichinojo,Wakatakakage,Chiyotairyu,Abi
Log082,11.0,Juryo,Shodai,Meisei,Endo,Ura,Terutsuyoshi
Maigius,16.0,Maegashira,Shodai,Ichinojo,Onosho,Hidenoumi,Shohozan
MalarkeyToboggan,1.0,Maegashira,Terunofuji,Mitakeumi,Takayasu,Aoiyama,Abi
Marching Powder,14.0,Maegashira,Takakeisho,Mitakeumi,Wakatakakage,Aoiyama,Abi
Martytoof,2.0,Juryo,Terunofuji,Meisei,Okinoumi,Ura,Yutakayama
Memento,14.0,Juryo,Takakeisho,Kiribayama,Daieisho,Ura,Kotonowaka
MyChemicalImbalance,15.0,Maegashira,Takakeisho,Mitakeumi,Hoshoryu,Ura,Kotonowaka
Neodoomium,6.0,Juryo,Takakeisho,Mitakeumi,Daieisho,Ura,Ishiura
Netsky,15.0,Maegashira,Terunofuji,Ichinojo,Daieisho,Tobizaru,Abi
NuclearPotato,7.0,Juryo,Takakeisho,Ichinojo,Endo,Shimanoumi,Chiyomaru
Omnikin,14.0,Juryo,Takakeisho,Ichinojo,Endo,Chiyoshoma,Shohozan
Pakled,4.0,Maegashira,Terunofuji,Ichinojo,Hoshoryu,Tamawashi,Kotonowaka
pseudodragon,14.0,Juryo,Takakeisho,Mitakeumi,Wakatakakage,Ura,Kotonowaka
QuasiQuack,9.0,Maegashira,Takakeisho,Kiribayama,Hoshoryu,Kotoeko,Hokutofuji
rare Magic card l00k,14.0,Juryo,Takakeisho,Meisei,Takayasu,Ura,Yutakayama
ratmosphere,13.0,Juryo,Takakeisho,Mitakeumi,Takayasu,Ura,Chiyomaru
Robviously,10.0,Maegashira,Takakeisho,Meisei,Okinoumi,Kotoeko,Chiyonoumi
scripterror,1.0,Maegashira,Terunofuji,Meisei,Takayasu,Aoiyama,Hokutofuji
Shiroc,3.0,Juryo,Takakeisho,Mitakeumi,Onosho,Chiyotairyu,Chiyomaru
sivad,9.0,Maegashira,Terunofuji,Mitakeumi,Takayasu,Ura,Abi
Skjorte,1.0,Sekiwake,Takakeisho,Kiribayama,Hoshoryu,Tamawashi,Hokutofuji
Spokes,8.0,Juryo,Shodai,Meisei,Endo,Ura,Ishiura
Takuan,5.0,Juryo,Terunofuji,Kiribayama,Wakatakakage,Ura,Abi
Teddybear,3.0,Juryo,Takakeisho,Mitakeumi,Daieisho,Shimanoumi,Chiyonokuni
Thauros,5.0,Maegashira,Shodai,Mitakeumi,Wakatakakage,Ura,Abi
Tiny Bug Child,1.0,Komusubi,Takakeisho,Mitakeumi,Hoshoryu,Tamawashi,Abi
Tochiazuma,2.0,Maegashira,Terunofuji,Kiribayama,Daieisho,Tamawashi,Ishiura
ullerrm,14.0,Juryo,Takakeisho,Kiribayama,Endo,Aoiyama,Hokutofuji
Vargatron,6.0,Maegashira,Shodai,Meisei,Endo,Ura,Akua
